Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
1,428,1,Mar 28,NYM,@,WSN,W2-0,GS-8,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,4,.79,-0.083,-1.03,0.00,0.00,RF
2,429,2,Mar 30,NYM,@,WSN,W11-8,CG,5,5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.222,.222,.222,.444,4,.91,-0.066,-0.08,10.00,12.40,RF
3,430,3,Mar 31,NYM,@,WSN,L5-6,CG,5,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.286,.286,.286,.571,5,1.42,0.019,0.61,8.00,9.20,RF
4,431,4,Apr 1,NYM,@,MIA,W7-3,CG,4,3,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.353,.389,.353,.742,5,1.34,0.058,0.33,10.00,12.20,RF
5,432,5,Apr 2,NYM,@,MIA,W6-5,CG,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.333,.391,.333,.725,4,.60,0.002,0.07,7.00,9.20,RF
6,433,6,Apr 3,NYM,@,MIA,W6-4,CG,5,4,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,.360,.429,.400,.829,4,.40,0.008,0.52,10.00,12.00,RF
7,434,7,Apr 4,NYM,,WSN,L0-4,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.310,.375,.345,.720,4,1.01,-0.105,-0.92,0.00,0.00,RF
8,435,8,Apr 6,NYM,,WSN,W6-5,CG,4,4,2,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,.333,.389,.485,.874,6,.74,0.136,0.83,21.00,27.90,RF
9,436,9,Apr 7,NYM,,WSN,L9-12,CG,5,4,2,2,1,0,1,3,0,0,2,1,0,0,0,0,0,0,.351,.415,.595,1.009,4,.33,0.042,2.59,27.00,37.90,RF
10,437,10,Apr 9,NYM,,MIN,L8-14,CG,5,3,3,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,.375,.457,.700,1.157,4,.80,0.133,1.99,27.00,37.10,RF
11,438,11,Apr 10,NYM,,MIN,W9-6,CG,4,3,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,.372,.460,.674,1.134,4,.83,0.033,1.82,11.00,16.50,RF
12,439,12,Apr 11,NYM,@,ATL,W6-3,CG,5,3,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,.348,.455,.630,1.085,4,.60,-0.008,-0.07,6.00,9.20,RF
13,440,13,Apr 12,NYM,@,ATL,W6-2,CG,5,4,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,.340,.450,.620,1.070,4,.47,0.042,0.68,14.00,18.50,RF
14,441,14,Apr 13,NYM,@,ATL,L7-11,GS-7,4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.340,.453,.623,1.076,3,.71,-0.008,-0.08,7.00,9.00,RF
15,442,15,Apr 14,NYM,@,ATL,L3-7,CG,5,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.328,.435,.603,1.038,4,.64,-0.035,-0.49,5.00,6.00,RF
16,443,16,Apr 15,NYM,@,PHI,W7-6,CG(11),6,6,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.313,.413,.563,.976,4,1.86,0.231,0.02,5.00,6.20,RF
